task,baseline,omic_support_dir,auomic_dir,auomic_tot
forecasting (KARMA),RANDOM,0.4979433018343524,0.47557745222401887,0.461725869427977
forecasting (KARMA),GRAD_X_INPUT,0.9864369093941079,0.9882497342328691,0.9665702037218932
forecasting (KARMA),IG_ZERO,0.9873262923846582,0.9885848046967564,0.9679104855774423
forecasting (KARMA),COND_OCCLUSION,1.0,1.0,0.9977588856588266
regression (TimeSHAP),RANDOM,0.5076981940618304,0.49746968876133313,0.4885470265903929
regression (TimeSHAP),GRAD_X_INPUT,0.7652433425160698,0.81772502096639,0.8080137606471013
regression (TimeSHAP),IG_ZERO,0.7722987450260177,0.8183498182016615,0.8095077411195735
regression (TimeSHAP),COND_OCCLUSION,1.0,1.0,0.9943687428526735
classification (TIMING),RANDOM,0.5046831955922866,0.48634235367106876,0.4794829597954804
classification (TIMING),GRAD_X_INPUT,0.74726048362412,0.8642306411648392,0.8365159818591513
classification (TIMING),IG_ZERO,0.7441077441077442,0.8654806611725132,0.8349895244777625
classification (TIMING),COND_OCCLUSION,1.0,1.0,0.9627103981280156
